Ward,Booking Cancellation Rate,lat,long
Someshwara Ward,32.9%,12.7853663,74.8555375
Kuvempunagar,33.6%,12.2767088,76.62565433422009
Someshwara Nagar,42.1%,12.975667467806815,77.6243401767499
Vishwanath Nagenahalli,34.1%,13.0388225,77.6033449
HAL Airport,36.4%,12.95146575,77.6706174862667
Vikram Nagar,30.1%,23.161783,75.8179959
Dodda Bommasandra,33.3%,13.0544346,77.55932688865724
Hanumanth Nagar,28.4%,12.9473478,77.56347763268755
Rajamahal Guttahalli,29.8%,13.001772899999999,77.57834674179693
Gottigere,31.5%,12.8565317,77.5877237
Okalipuram,42.9%,12.98239655,77.5648323575547
Bande Mutt,34.8%,12.91133335,77.47445008704999
Hosakerehalli,35.8%,12.9301881,77.5378332
Sriramamandir,29.0%,12.9849684,77.55760838306867
Chokkasandra,41.0%,12.8722592,77.72574138343239
Tilak Nagar,40.5%,28.6365482,77.0964961
Manorayanapalya,35.0%,13.031936649999999,77.60438186396622
Srinagar,27.8%,34.0747444,74.8204443
Kengeri,29.6%,12.9176571,77.4837568
Hampi Nagar,29.5%,12.9609115,77.5358407
Ullal,28.6%,12.8181202,74.8459375
Naganathapura,41.1%,12.87179515,77.66559333834337
Kamakya Nagar,33.0%,12.925283757674162,77.55012037117882
Mangammanapalya,42.0%,12.8998659,77.63930687593918
T Dasarahalli,37.9%,13.0457517,77.51404300816833
Vidyapeeta ward,32.4%,12.934034700000002,77.56594155582614
Chamundi Nagara,32.9%,13.02521195,77.59646995353445
Atturu Layout,31.9%,13.1157467,77.5772202
J P Park,32.3%,37.566374499999995,22.802330471691807
Nagarabhavi,28.9%,12.9664182,77.5130777
Marenahalli,27.7%,13.11892425,77.67994501708486
Dr. Raj Kumar Ward,30.3%,13.31543812746399,76.94301416215332
Jaraganahalli,38.7%,12.8992931,77.5772689580008
Chickpete,62.0%,12.9701392,77.5775301
Vannarapete,32.3%,12.9599932,77.6176375
Kammanahalli,39.2%,13.0148544,77.6382029
Defence Colony,40.4%,28.5713575,77.2330402
Kushal Nagar,36.6%,13.0187848,77.6151144
Rajaji Nagar,28.6%,11.35231,77.75753
Bommanahalli,40.9%,13.1273532,77.35982602390163
Vijinapura,38.8%,13.007014,77.66786328006063
Srinivasa Nagar,26.4%,17.7318084,83.2988143
Agaram,39.9%,13.1158603,80.2300407
Gayithri Nagar,28.7%,12.9976458,77.562323867253
Vijayanagara Krishnadevaraya,31.3%,15.15101445,76.87634342272128
Kammagondanahalli,31.8%,13.0620306,77.5354745
Veerabhadranagar,35.8%,17.6655732,78.3723449
Bharathi Nagar,44.4%,11.0471906,76.9890493
Yelachenahalli,40.6%,12.897971,77.5700846
Kadugondanahalli,38.8%,13.0207029,77.6215464
Sagayarapuram,39.2%,13.00528525,77.6163623712439
Chanakya,38.1%,26.8931734,75.7393253
Shivanagara,27.0%,14.832897,75.6068802
Basaveshwara Nagar,24.8%,12.99118045,77.54489175084052
Vidyamanyanagar,31.5%,13.0071319,77.4896353
Peenya,41.4%,13.0330515,77.5332233
Chowdeswari Ward,37.2%,13.105721599999999,77.58300836953514
Govindaraja Nagar,24.1%,12.98033475,77.53791538448837
Maruthi Mandir ward,26.9%,12.9703764,77.5263573022634
Kamakshipalya,26.8%,12.9823617,77.5226376
Avalahalli,34.5%,13.032947100000001,77.73516827740814
Banashankari Temple ward,40.9%,12.9117374,77.57033282631957
Kadugodi,39.8%,12.9957428,77.7579489
Bagalakunte,36.6%,13.053630550000001,77.50196713347404
Hosahalli,30.4%,12.85107725,77.75867364649753
Shankar Matt,28.8%,12.997768149999999,77.53334700522072
Dodda Bidarakallu,38.4%,13.02682265,77.4873879468482
Vijayanagar,32.0%,12.9709537,77.5373851
Prakash Nagar,31.8%,17.4448889,78.4658749
Shakthi Ganapathi Nagar,27.2%,12.993783,77.5360361
